"V1","V2","V3","V4"
397570.3,655501,397570.3,655501
397570.3,655501,397246.3,653870.5
397246.3,653870.5,399433.4,652077
399433.4,652077,399676.4,649875.8
399676.4,649875.8,399676.4,648653
399676.4,648653,402430.5,645310.4
402430.5,645310.4,404293.5,642864.6
404293.5,642864.6,406966.6,640745
406966.6,640745,407938.6,637973.1
407938.6,637973.1,409720.7,636179.6
409720.7,636179.6,412150.7,635527.4
412150.7,635527.4,413689.8,633407.7
413689.8,633407.7,413689.8,632184.8
413689.8,632184.8,415228.8,632755.5
415228.8,632755.5,417658.9,632511
417658.9,632511,420088.9,630635.9
420088.9,630635.9,421304,628516.2
421304,628516.2,421547,625418.3
421547,625418.3,421871,623624.7
421871,623624.7,423086,623298.6
423086,623298.6,423086,620852.8
423086,620852.8,423734,618733.2
423734,618733.2,424301.1,616613.5
424301.1,616613.5,424949.1,613189.5
424949.1,613189.5,425516.1,611395.9
425516.1,611395.9,424949.1,609520.8
424949.1,609520.8,423734,607727.3
423734,607727.3,423734,605281.5
423734,605281.5,423977,603732.6
423977,603732.6,425516.1,602835.8
425516.1,602835.8,427379.1,600390
427379.1,600390,426731.1,597944.3
426731.1,597944.3,426164.1,596395.3
426164.1,596395.3,426164.1,593623.4
426164.1,593623.4,427379.1,592156
427379.1,592156,428594.2,590280.9
428594.2,590280.9,428594.2,588487.3
428594.2,588487.3,429485.2,587264.5
429485.2,587264.5,429809.2,585715.5
429809.2,585715.5,429161.2,583269.7
429161.2,583269.7,429161.2,581720.8
429161.2,581720.8,429161.2,580171.8
429161.2,580171.8,428837.2,579275
428837.2,579275,430376.2,578948.9
430376.2,578948.9,431024.2,576503.1
431024.2,576503.1,431267.2,575280.3
431267.2,575280.3,432806.3,573160.6
432806.3,573160.6,433697.3,571611.6
433697.3,571611.6,434021.3,569818.1
434021.3,569818.1,435236.3,567698.4
435236.3,567698.4,435560.4,566149.4
435560.4,566149.4,434021.3,563377.6
434021.3,563377.6,434912.3,564029.8
434912.3,564029.8,436775.4,565252.7
436775.4,565252.7,437990.4,563377.6
437990.4,563377.6,439205.5,561828.6
439205.5,561828.6,439529.5,559709
439529.5,559709,438881.4,556937.1
438881.4,556937.1,438881.4,554817.4
438881.4,554817.4,439529.5,553023.9
439529.5,553023.9,439772.5,551148.8
439772.5,551148.8,440096.5,549355.3
440096.5,549355.3,440987.5,547806.3
440987.5,547806.3,442526.5,546583.4
442526.5,546583.4,442526.5,544708.3
442526.5,544708.3,442526.5,542914.8
442526.5,542914.8,442850.6,541365.8
442850.6,541365.8,444065.6,538349.4
444065.6,538349.4,445604.6,536148.2
445604.6,536148.2,447062.7,534680.7
447062.7,534680.7,449816.7,532479.5
449816.7,532479.5,451355.8,531582.8
451355.8,531582.8,451679.8,527506.5
451679.8,527506.5,451922.8,525957.5
451922.8,525957.5,452894.8,524490.1
452894.8,524490.1,452894.8,522288.9
452894.8,522288.9,451922.8,520169.2
451922.8,520169.2,450464.8,518049.6
450464.8,518049.6,450464.8,517397.4
450464.8,517397.4,452570.8,520169.2
452570.8,520169.2,453461.8,522288.9
453461.8,522288.9,455000.9,524490.1
455000.9,524490.1,455891.9,522941.1
455891.9,522941.1,458646,522615
458646,522615,461076,520821.4
461076,520821.4,463182.1,519272.5
463182.1,519272.5,465045.2,518620.3
465045.2,518620.3,466827.2,518620.3
466827.2,518620.3,469581.3,517723.5
469581.3,517723.5,472011.3,517152.8
472011.3,517152.8,474441.4,516826.7
474441.4,516826.7,477438.5,515603.8
477438.5,515603.8,479301.5,514054.8
479301.5,514054.8,480192.6,512505.9
480192.6,512505.9,481731.6,512261.3
481731.6,512261.3,483270.6,511609.1
483270.6,511609.1,484485.7,510712.3
484485.7,510712.3,486267.7,508837.2
486267.7,508837.2,488373.8,508592.7
488373.8,508592.7,491775.9,506391.5
491775.9,506391.5,492990.9,505168.6
492990.9,505168.6,494205.9,503701.1
494205.9,503701.1,493557.9,501500
493557.9,501500,495421,499706.4
495421,499706.4,497203,498809.6
497203,498809.6,498742.1,496037.8
498742.1,496037.8,499957.1,493265.9
499957.1,493265.9,500524.1,490494.1
500524.1,490494.1,501739.1,487803.7
501739.1,487803.7,502954.2,485031.9
502954.2,485031.9,503278.2,482912.2
503278.2,482912.2,506032.3,480711
506032.3,480711,508462.3,479814.3
508462.3,479814.3,510568.4,478917.5
510568.4,478917.5,510001.4,476145.6
510001.4,476145.6,510325.4,476064.1
510325.4,476064.1,511540.4,474189
511540.4,474189,513322.5,472966.1
513322.5,472966.1,515752.5,472395.5
515752.5,472395.5,518182.6,471417.2
518182.6,471417.2,520045.6,470194.3
520045.6,470194.3,522151.7,469297.5
522151.7,469297.5,523042.7,467748.5
523042.7,467748.5,521260.7,466281.1
521260.7,466281.1,518506.6,465955
518506.6,465955,516400.5,464732.1
516400.5,464732.1,515752.5,462286.3
515752.5,462286.3,514861.5,459514.5
514861.5,459514.5,515428.5,457068.7
515428.5,457068.7,516076.5,453400.1
516076.5,453400.1,516967.6,450383.7
516967.6,450383.7,517858.6,447285.7
517858.6,447285.7,519397.6,443943.2
519397.6,443943.2,521503.7,440600.6
521503.7,440600.6,523366.7,437502.7
523366.7,437502.7,526120.8,433834.1
526120.8,433834.1,527902.9,430491.5
527902.9,430491.5,529441.9,428371.9
529441.9,428371.9,531548,426496.8
531548,426496.8,533978,423724.9
533978,423724.9,535517.1,421034.6
535517.1,421034.6,537056.1,418588.8
537056.1,418588.8,538271.1,416143.1
538271.1,416143.1,539486.2,414268
539486.2,414268,540053.2,411251.6
540053.2,411251.6,538514.1,408479.7
538514.1,408479.7,538271.1,409050.4
538271.1,409050.4,539162.2,411251.6
539162.2,411251.6,538838.1,412719
538838.1,412719,537056.1,414920.2
537056.1,414920.2,534869,415817
534869,415817,531548,415817
531548,415817,529441.9,414594.1
529441.9,414594.1,526687.8,413697.3
526687.8,413697.3,524257.8,414268
524257.8,414268,522151.7,415817
522151.7,415817,519397.6,418588.8
519397.6,418588.8,516967.6,420708.5
516967.6,420708.5,514861.5,424051
514861.5,424051,511783.4,425926.1
511783.4,425926.1,509110.3,425600
509110.3,425600,506680.3,424377.1
506680.3,424377.1,503278.2,423724.9
503278.2,423724.9,500605.1,422828.2
500605.1,422828.2,497851,422502.1
497851,422502.1,496312,421931.4
496312,421931.4,494205.9,421931.4
494205.9,421931.4,491775.9,423480.4
491775.9,423480.4,489345.8,423724.9
489345.8,423724.9,487482.8,423480.4
487482.8,423480.4,485700.7,421931.4
485700.7,421931.4,483594.7,420708.5
483594.7,420708.5,482946.6,419485.6
482946.6,419485.6,485376.7,420056.3
485376.7,420056.3,486915.7,421605.3
486915.7,421605.3,489021.8,422257.5
489021.8,422257.5,490884.9,421279.2
490884.9,421279.2,492099.9,419485.6
492099.9,419485.6,494529.9,418833.4
494529.9,418833.4,496960,418588.8
496960,418588.8,498418.1,419811.7
498418.1,419811.7,501172.1,420056.3
501172.1,420056.3,503278.2,420708.5
503278.2,420708.5,506032.3,421034.6
506032.3,421034.6,509110.3,421605.3
509110.3,421605.3,511540.4,422257.5
511540.4,422257.5,513970.5,418588.8
513970.5,418588.8,515752.5,416143.1
515752.5,416143.1,518830.6,413371.2
518830.6,413371.2,521503.7,411251.6
521503.7,411251.6,523366.7,408479.7
523366.7,408479.7,527011.8,408479.7
527011.8,408479.7,529441.9,405707.9
529441.9,405707.9,532196,402936
532196,402936,532763,402039.2
532763,402039.2,534302,401713.1
534302,401713.1,535517.1,400245.7
535517.1,400245.7,536732.1,398696.7
536732.1,398696.7,540053.2,398696.7
540053.2,398696.7,542483.2,396577
542483.2,396577,542159.2,396332.5
542159.2,396332.5,544022.3,392908.4
544022.3,392908.4,545480.3,390462.7
545480.3,390462.7,545804.3,387772.3
545804.3,387772.3,547667.4,385571.1
547667.4,385571.1,549125.4,381902.5
549125.4,381902.5,550097.5,379456.7
550097.5,379456.7,551555.5,376440.3
551555.5,376440.3,553094.5,373342.4
553094.5,373342.4,553742.5,369429.2
553742.5,369429.2,554309.6,367228
554309.6,367228,555200.6,364211.5
555200.6,364211.5,554957.6,361113.6
554957.6,361113.6,554957.6,358097.1
554957.6,358097.1,553985.6,356222.1
553985.6,356222.1,552770.5,354102.4
552770.5,354102.4,548558.4,351086
548558.4,351086,546452.4,348884.8
546452.4,348884.8,544265.3,346765.1
544265.3,346765.1,541835.2,344319.4
541835.2,344319.4,539729.2,341873.6
539729.2,341873.6,538514.1,338857.2
538514.1,338857.2,536732.1,336656
536732.1,336656,535193,333965.7
535193,333965.7,533978,332742.8
533978,332742.8,533978,332742.8
533978,332742.8,537137.1,332905.9
537137.1,332905.9,538595.1,332009.1
538595.1,332009.1,540458.2,331683
540458.2,331683,543212.3,331112.3
543212.3,331112.3,544427.3,328014.4
544427.3,328014.4,547100.4,325568.6
547100.4,325568.6,547100.4,323448.9
547100.4,323448.9,554390.6,323122.8
554390.6,323122.8,557468.6,321329.3
557468.6,321329.3,557792.7,319780.3
557792.7,319780.3,558359.7,324345.7
558359.7,324345.7,560465.7,326791.5
560465.7,326791.5,561113.7,328666.6
561113.7,328666.6,562328.8,332335.2
562328.8,332335.2,562895.8,335025.5
562895.8,335025.5,564110.8,338449.6
564110.8,338449.6,566297.9,340895.3
566297.9,340895.3,568971,342118.2
568971,342118.2,572049,341792.1
572049,341792.1,577800.2,342688.9
577800.2,342688.9,580878.3,343911.8
580878.3,343911.8,583875.4,343341.1
583875.4,343341.1,586305.4,343015
586305.4,343015,589626.5,342362.8
589626.5,342362.8,593919.6,341466
593919.6,341466,596025.7,342118.2
596025.7,342118.2,599670.8,342688.9
599670.8,342688.9,603315.9,343015
603315.9,343015,604854.9,342118.2
604854.9,342118.2,607609,341466
607609,341466,610606.1,340569.2
610606.1,340569.2,613036.2,340895.3
613036.2,340895.3,616114.2,340569.2
616114.2,340569.2,619111.3,339346.4
619111.3,339346.4,622432.4,338123.5
622432.4,338123.5,624862.5,336574.5
624862.5,336574.5,627049.5,335025.5
627049.5,335025.5,629155.6,333232
629155.6,333232,631261.6,332009.1
631261.6,332009.1,633124.7,330134
633124.7,330134,635554.8,328014.4
635554.8,328014.4,637984.8,326465.4
637984.8,326465.4,640090.9,324671.8
640090.9,324671.8,642845,322552.2
642845,322552.2,645275,319780.3
645275,319780.3,647057.1,317008.5
647057.1,317008.5,648272.1,313339.8
648272.1,313339.8,649163.1,310568
649163.1,310568,650135.2,308448.3
650135.2,308448.3,650135.2,306002.6
650135.2,306002.6,649811.1,303230.7
649811.1,303230.7,648272.1,305105.8
648272.1,305105.8,645518,304209
645518,304209,646733,303230.7
646733,303230.7,648272.1,303556.8
648272.1,303556.8,649811.1,302007.8
649811.1,302007.8,650135.2,299317.5
650135.2,299317.5,650378.2,297116.3
650378.2,297116.3,651026.2,294996.7
651026.2,294996.7,651593.2,292224.8
651593.2,292224.8,651350.2,290431.2
651350.2,290431.2,649811.1,287088.7
649811.1,287088.7,650135.2,283094
650135.2,283094,649811.1,280322.1
649811.1,280322.1,649163.1,277876.4
649163.1,277876.4,647948.1,274533.8
647948.1,274533.8,646733,271762
646733,271762,645842,269968.4
645842,269968.4,645275,268093.3
645275,268093.3,643412,263527.9
643412,263527.9,643412,260430
643412,260430,644303,258636.4
644303,258636.4,644303,255864.6
644303,255864.6,643736,253092.7
643736,253092.7,642845,250646.9
642845,250646.9,642197,248201.2
642197,248201.2,641872.9,246407.6
641872.9,246407.6,638875.9,244858.7
638875.9,244858.7,635554.8,242412.9
635554.8,242412.9,633367.7,240619.3
633367.7,240619.3,633367.7,238173.6
633367.7,238173.6,630937.6,236624.6
630937.6,236624.6,630046.6,235401.7
630046.6,235401.7,627616.5,238418.2
627616.5,238418.2,626725.5,241516.1
626725.5,241516.1,625186.5,243635.8
625186.5,243635.8,623647.4,244288
623647.4,244288,623647.4,243635.8
623647.4,243635.8,624862.5,242739
624862.5,242739,625186.5,241516.1
625186.5,241516.1,626077.5,238418.2
626077.5,238418.2,627049.5,236624.6
627049.5,236624.6,628264.6,235401.7
628264.6,235401.7,629722.6,233852.8
629722.6,233852.8,627292.5,231733.1
627292.5,231733.1,625510.5,229613.4
625510.5,229613.4,623404.4,231733.1
623404.4,231733.1,622432.4,234505
622432.4,234505,620650.4,235727.8
620650.4,235727.8,618787.3,235972.4
618787.3,235972.4,616681.3,236624.6
616681.3,236624.6,614575.2,238173.6
614575.2,238173.6,613684.2,239396.5
613684.2,239396.5,613036.2,238418.2
613036.2,238418.2,614251.2,237195.3
614251.2,237195.3,616114.2,236298.5
616114.2,236298.5,617896.3,235727.8
617896.3,235727.8,619759.3,235075.6
619759.3,235075.6,621217.4,233852.8
621217.4,233852.8,622189.4,231407
622189.4,231407,623404.4,230184.1
623404.4,230184.1,618787.3,230184.1
618787.3,230184.1,615466.2,230510.2
615466.2,230510.2,614251.2,230836.3
614251.2,230836.3,612469.1,230184.1
612469.1,230184.1,608824,229613.4
608824,229613.4,609715.1,228635.1
609715.1,228635.1,611821.1,228961.2
611821.1,228961.2,614251.2,228961.2
614251.2,228961.2,617005.3,228961.2
617005.3,228961.2,619111.3,228961.2
619111.3,228961.2,621217.4,228961.2
621217.4,228961.2,622756.4,228635.1
622756.4,228635.1,621541.4,226841.6
621541.4,226841.6,620974.4,225618.7
620974.4,225618.7,619111.3,224395.8
619111.3,224395.8,617572.3,222276.2
617572.3,222276.2,619111.3,221950.1
619111.3,221950.1,621541.4,221624
621541.4,221624,623080.4,221297.9
623080.4,221297.9,622756.4,220075
622756.4,220075,621541.4,218852.1
621541.4,218852.1,620650.4,216732.5
620650.4,216732.5,618787.3,214938.9
618787.3,214938.9,617329.3,213716
617329.3,213716,613927.2,210455
613927.2,210455,611497.1,210455
611497.1,210455,609391,210128.9
609391,210128.9,607609,210455
607609,210455,606070,212248.6
606070,212248.6,607285,213471.5
607285,213471.5,605178.9,212900.8
605178.9,212900.8,603639.9,213797.6
603639.9,213797.6,602991.9,216569.4
602991.9,216569.4,602100.9,218689.1
602100.9,218689.1,600318.8,219585.8
600318.8,219585.8,600885.8,217466.2
600885.8,217466.2,601776.8,215917.2
601776.8,215917.2,601776.8,214123.7
601776.8,214123.7,599346.8,213797.6
599346.8,213797.6,598131.7,211677.9
598131.7,211677.9,597564.7,209802.8
597564.7,209802.8,594243.6,210128.9
594243.6,210128.9,595701.7,208579.9
595701.7,208579.9,595458.7,206786.4
595458.7,206786.4,592704.6,205889.6
592704.6,205889.6,591165.6,205563.5
591165.6,205563.5,589383.5,205563.5
589383.5,205563.5,586629.4,205237.4
586629.4,205237.4,585414.4,204340.6
585414.4,204340.6,582660.3,204340.6
582660.3,204340.6,585414.4,202791.7
585414.4,202791.7,587520.5,201242.7
587520.5,201242.7,588411.5,200345.9
588411.5,200345.9,589950.5,202791.7
589950.5,202791.7,591165.6,202791.7
591165.6,202791.7,593919.6,202465.6
593919.6,202465.6,594486.7,203117.8
594486.7,203117.8,595701.7,204666.7
595701.7,204666.7,597240.7,206134.2
597240.7,206134.2,600561.8,206134.2
600561.8,206134.2,600561.8,202465.6
600561.8,202465.6,601533.8,200345.9
601533.8,200345.9,601533.8,197574
601533.8,197574,600318.8,195780.5
600318.8,195780.5,599994.8,194883.7
599994.8,194883.7,599994.8,194313
599994.8,194313,599670.8,192438
599670.8,192438,598455.8,192193.4
598455.8,192193.4,596673.7,191867.3
596673.7,191867.3,593595.6,192193.4
593595.6,192193.4,591165.6,193090.2
591165.6,193090.2,589383.5,193986.9
589383.5,193986.9,586953.4,194313
586953.4,194313,585090.4,193986.9
585090.4,193986.9,582660.3,193416.3
582660.3,193416.3,580878.3,192438
580878.3,192438,584523.4,192438
584523.4,192438,587196.5,192764.1
587196.5,192764.1,588735.5,192193.4
588735.5,192193.4,591165.6,191215.1
591165.6,191215.1,594243.6,190644.4
594243.6,190644.4,596025.7,189421.5
596025.7,189421.5,595701.7,188198.6
595701.7,188198.6,595458.7,186975.8
595458.7,186975.8,596025.7,185426.8
596025.7,185426.8,593595.6,183877.8
593595.6,183877.8,592380.6,182654.9
592380.6,182654.9,589950.5,181758.2
589950.5,181758.2,586305.4,182410.4
586305.4,182410.4,582336.3,182410.4
582336.3,182410.4,580554.3,182981
580554.3,182981,576018.2,182981
576018.2,182981,574155.1,182410.4
574155.1,182410.4,572616.1,180861.4
572616.1,180861.4,572049,179312.4
572049,179312.4,568728,179312.4
568728,179312.4,567512.9,177518.8
567512.9,177518.8,566540.9,174420.9
566540.9,174420.9,566540.9,172627.3
566540.9,172627.3,568566,173850.2
568566,173850.2,569214,175969.9
569214,175969.9,572211,175643.8
572211,175643.8,573750.1,176296
573750.1,176296,577395.2,175969.9
577395.2,175969.9,580149.3,175643.8
580149.3,175643.8,582579.3,175399.2
582579.3,175399.2,584685.4,175073.1
584685.4,175073.1,585900.4,173850.2
585900.4,173850.2,586548.4,171975.1
586548.4,171975.1,585576.4,170752.3
585576.4,170752.3,584361.4,170507.7
584361.4,170507.7,582579.3,171404.5
582579.3,171404.5,580716.3,170752.3
580716.3,170752.3,579501.2,169529.4
579501.2,169529.4,577719.2,168632.6
577719.2,168632.6,576504.2,168306.5
576504.2,168306.5,574641.1,167735.8
574641.1,167735.8,572859.1,166839
572859.1,166839,570753,165290.1
570753,165290.1,572535,164393.3
572535,164393.3,573750.1,166186.8
573750.1,166186.8,575289.1,166839
575289.1,166839,577395.2,167409.7
577395.2,167409.7,579258.2,168061.9
579258.2,168061.9,580473.3,168958.7
580473.3,168958.7,582579.3,169284.8
582579.3,169284.8,585333.4,168632.6
585333.4,168632.6,587763.5,167409.7
587763.5,167409.7,588654.5,169284.8
588654.5,169284.8,590436.5,171730.6
590436.5,171730.6,593838.6,171078.4
593838.6,171078.4,596835.7,170507.7
596835.7,170507.7,598050.7,170181.6
598050.7,170181.6,599913.8,168958.7
599913.8,168958.7,601371.8,167409.7
601371.8,167409.7,602343.9,165860.7
602343.9,165860.7,601128.8,164393.3
601128.8,164393.3,600804.8,162518.2
600804.8,162518.2,602586.9,162192.1
602586.9,162192.1,604773.9,162192.1
604773.9,162192.1,606880,163741.1
606880,163741.1,608095,163741.1
608095,163741.1,609877.1,164393.3
609877.1,164393.3,612955.1,164637.9
612955.1,164637.9,615061.2,164964
615061.2,164964,617167.3,166512.9
617167.3,166512.9,619030.3,166186.8
619030.3,166186.8,621784.4,165860.7
621784.4,165860.7,624214.5,166839
624214.5,166839,626887.5,167409.7
626887.5,167409.7,629074.6,167409.7
629074.6,167409.7,631180.6,167409.7
631180.6,167409.7,633610.7,168061.9
633610.7,168061.9,636931.8,168632.6
636931.8,168632.6,638146.8,165290.1
638146.8,165290.1,637255.8,164393.3
637255.8,164393.3,636607.8,162192.1
636607.8,162192.1,634825.7,161947.5
634825.7,161947.5,633286.7,161295.3
633286.7,161295.3,632395.7,160398.6
632395.7,160398.6,631747.7,158523.5
631747.7,158523.5,632071.7,156403.8
632071.7,156403.8,633286.7,153958.1
633286.7,153958.1,633934.7,152409.1
633934.7,152409.1,633934.7,150289.4
633934.7,150289.4,634825.7,148495.9
634825.7,148495.9,635149.7,146294.7
635149.7,146294.7,634501.7,143278.3
634501.7,143278.3,633286.7,141158.6
633286.7,141158.6,632395.7,139283.5
632395.7,139283.5,629965.6,138060.7
629965.6,138060.7,628426.6,136837.8
628426.6,136837.8,626320.5,136267.1
626320.5,136267.1,623890.4,135941
623890.4,135941,622351.4,134718.1
622351.4,134718.1,619597.3,133169.1
619597.3,133169.1,616600.2,132598.5
616600.2,132598.5,613522.2,132272.4
613522.2,132272.4,612064.1,131049.5
612064.1,131049.5,610201.1,129174.4
610201.1,129174.4,608662,127707
608662,127707,607204,126158
607204,126158,605989,124935.1
605989,124935.1,605665,122815.4
605665,122815.4,604773.9,119391.4
604773.9,119391.4,605665,117271.7
605665,117271.7,606232,115478.2
606232,115478.2,606556,113603.1
606556,113603.1,603234.9,113929.2
603234.9,113929.2,599913.8,115152.1
599913.8,115152.1,598374.8,115478.2
598374.8,115478.2,596511.7,116048.9
596511.7,116048.9,593514.6,116375
593514.6,116375,591975.6,115478.2
591975.6,115478.2,589221.5,112054.1
589221.5,112054.1,587115.5,111157.3
587115.5,111157.3,585333.4,109608.4
585333.4,109608.4,583146.3,108385.5
583146.3,108385.5,581931.3,107488.7
581931.3,107488.7,579825.3,106591.9
579825.3,106591.9,578610.2,105939.7
578610.2,105939.7,576504.2,105369.1
576504.2,105369.1,574641.1,105043
574641.1,105043,570753,104146.2
570753,104146.2,568323,103494
568323,103494,565892.9,103249.4
565892.9,103249.4,563705.8,101700.4
563705.8,101700.4,562247.8,99825.34
562247.8,99825.34,561275.8,98031.78
561275.8,98031.78,559817.7,97135
559817.7,97135,557630.7,94363.15
557630.7,94363.15,555524.6,92814.17
555524.6,92814.17,553094.5,93466.37
553094.5,93466.37,551312.5,94689.25
551312.5,94689.25,548882.4,94933.83
548882.4,94933.83,547019.4,95586.03
547019.4,95586.03,544913.3,96808.9
544913.3,96808.9,542483.2,96808.9
542483.2,96808.9,539405.2,97379.58
539405.2,97379.58,536084.1,98928.56
536084.1,98928.56,533654,100151.4
533654,100151.4,526039.8,101374.3
526039.8,101374.3,523042.7,102026.5
523042.7,102026.5,519964.6,102271.1
519964.6,102271.1,517534.6,101700.4
517534.6,101700.4,515104.5,100477.5
515104.5,100477.5,512998.4,99580.76
512998.4,99580.76,509353.3,98602.46
509353.3,98602.46,506356.3,98602.46
506356.3,98602.46,502954.2,98357.88
502954.2,98357.88,499633.1,98602.46
499633.1,98602.46,496879,97379.58
496879,97379.58,493233.9,96156.7
493233.9,96156.7,491127.9,95586.03
491127.9,95586.03,489669.8,95586.03
489669.8,95586.03,487887.8,94933.83
487887.8,94933.83,486024.7,94363.15
486024.7,94363.15,485781.7,92243.5
485781.7,92243.5,484566.7,90042.32
484566.7,90042.32,483027.6,89471.64
483027.6,89471.64,481488.6,91591.3
481488.6,91591.3,480273.6,92814.17
480273.6,92814.17,478167.5,94689.25
478167.5,94689.25,476061.4,95259.93
476061.4,95259.93,475737.4,97379.58
475737.4,97379.58,477519.5,99825.34
477519.5,99825.34,477843.5,101374.3
477843.5,101374.3,476061.4,100803.6
476061.4,100803.6,475089.4,99580.76
475089.4,99580.76,473874.4,98031.78
473874.4,98031.78,472416.4,98357.88
472416.4,98357.88,472416.4,100803.6
472416.4,100803.6,472416.4,101374.3
472416.4,101374.3,471444.3,101700.4
471444.3,101700.4,469986.3,101700.4
469986.3,101700.4,469662.3,100477.5
469662.3,100477.5,469662.3,98928.56
469662.3,98928.56,469662.3,97379.58
469662.3,97379.58,469338.3,96156.7
469338.3,96156.7,467799.2,96808.9
467799.2,96808.9,467232.2,98928.56
467232.2,98928.56,466908.2,101048.2
466908.2,101048.2,465693.2,100803.6
465693.2,100803.6,465369.2,99254.66
465369.2,99254.66,465369.2,97705.68
465369.2,97705.68,464154.1,96156.7
464154.1,96156.7,462048.1,96156.7
462048.1,96156.7,461724.1,97705.68
461724.1,97705.68,461724.1,100477.5
461724.1,100477.5,461481.1,102271.1
461481.1,102271.1,461481.1,103249.4
461481.1,103249.4,459942,102271.1
459942,102271.1,459051,102271.1
459051,102271.1,458079,102271.1
458079,102271.1,458403,100803.6
458403,100803.6,459618,99254.66
459618,99254.66,460509,98031.78
460509,98031.78,460266,97135
460266,97135,459618,95586.03
459618,95586.03,457511.9,95912.13
457511.9,95912.13,455081.9,97705.68
455081.9,97705.68,453218.8,98928.56
453218.8,98928.56,451760.8,99825.34
451760.8,99825.34,449330.7,101048.2
449330.7,101048.2,447467.7,102597.2
447467.7,102597.2,446576.7,104472.3
446576.7,104472.3,446900.7,106265.8
446900.7,106265.8,446252.6,105369.1
446252.6,105369.1,445685.6,104146.2
445685.6,104146.2,444146.6,105695.2
444146.6,105695.2,442607.5,106591.9
442607.5,106591.9,441716.5,109363.8
441716.5,109363.8,442283.5,109934.5
442283.5,109934.5,440825.5,107814.8
440825.5,107814.8,438638.4,108140.9
438638.4,108140.9,435317.3,109934.5
435317.3,109934.5,439286.5,107488.7
439286.5,107488.7,440825.5,105695.2
440825.5,105695.2,442040.5,104146.2
442040.5,104146.2,444470.6,102026.5
444470.6,102026.5,445685.6,100477.5
445685.6,100477.5,446576.7,98357.88
446576.7,98357.88,445685.6,96482.8
445685.6,96482.8,443822.6,95912.13
443822.6,95912.13,441716.5,94689.25
441716.5,94689.25,440501.5,97705.68
440501.5,97705.68,440177.5,95586.03
440177.5,95586.03,439286.5,93710.95
439286.5,93710.95,436856.4,93140.27
436856.4,93140.27,434750.3,92814.17
434750.3,92814.17,432320.3,92243.5
432320.3,92243.5,431348.2,90368.42
431348.2,90368.42,430457.2,88574.86
430457.2,88574.86,429242.2,87351.98
429242.2,87351.98,426812.1,88819.44
426812.1,88819.44,423815,89471.64
423815,89471.64,421628,90368.42
421628,90368.42,418954.9,90042.32
418954.9,90042.32,416524.8,88819.44
416524.8,88819.44,414985.8,87922.66
414985.8,87922.66,413122.7,88819.44
413122.7,88819.44,409234.6,88819.44
409234.6,88819.44,405832.6,87351.98
405832.6,87351.98,404050.5,85803
404050.5,85803,402511.5,84254.03
